region,coverage,divergence,heterozygosity,iteration,golden variants,golden variants same site,golden invariant,called variants,tp,fp,fn,tn,called het golden,called het non golden,no info
19,30,0.10,0.005,3,455111,0,2756716,3211827,163367,46837,0,0,285249,2707801,944
19,30,0.10,0.005,2,922379,0,2556205,3478584,638220,124678,0,0,260260,2424848,2241
19,30,0.10,0.005,1,2579682,0,1926058,4505740,2372089,453444,0,0,131928,1452796,10793
19,30,0.08,0.005,3,319330,0,2919635,3238965,77927,17497,0,0,238712,2901294,331
19,30,0.08,0.005,2,632059,0,2825362,3457421,388811,50179,0,0,229793,2771383,480
19,30,0.08,0.005,1,2836129,0,2375844,5211973,2613945,291615,0,0,140246,2064523,4011
19,30,0.06,0.005,3,183604,0,2573448,2757052,29660,6673,0,0,153292,2566557,80
19,30,0.06,0.005,2,312702,0,2544359,2857061,157159,18341,0,0,151342,2524765,94
19,30,0.06,0.005,1,2604422,0,2397484,5001906,2436080,111178,0,0,103166,2270836,701
19,30,0.04,0.005,3,88017,0,1910472,1998489,11577,2382,0,0,76249,1908028,24
19,30,0.04,0.005,2,134558,0,1900478,2035036,57730,7099,0,0,75744,1893025,41
19,30,0.04,0.005,1,1963052,0,1872883,3835935,1877274,44352,0,0,50850,1820221,196
19,30,0.02,0.005,3,23115,0,1033987,1057102,2938,488,0,0,20159,1033491,0
19,30,0.02,0.005,2,32836,0,1031410,1064246,12581,1105,0,0,20133,1030276,8
19,30,0.02,0.005,1,1057136,0,1032152,2089288,1034924,15871,0,0,12832,1013932,13
19,30,0.00,0.005,3,0,0,1,1,0,0,0,0,0,1,0
19,30,0.00,0.005,2,0,0,1,1,0,0,0,0,0,1,0
19,30,0.00,0.005,1,0,0,1,1,0,0,0,0,0,1,0
18,30,0.10,0.005,3,687772,0,4127249,4815021,248873,70534,0,0,429139,4053681,1373
18,30,0.10,0.005,2,1378339,0,3821059,5199398,952213,185910,0,0,389952,3625153,3634
18,30,0.10,0.005,1,3854168,0,2877019,6731187,3542520,681756,0,0,198067,2165607,16712
18,30,0.08,0.005,3,482729,0,4374714,4857443,120854,27291,0,0,357798,4346113,483
18,30,0.08,0.005,2,948587,0,4228551,5177138,584253,75526,0,0,343937,4147142,994
18,30,0.08,0.005,1,4244895,0,3549885,7794780,3913599,439894,0,0,208905,3080489,6118
18,30,0.06,0.005,3,284462,0,3886972,4171434,48750,10323,0,0,234506,3876244,170
18,30,0.06,0.005,2,485776,0,3838034,4323810,247826,28796,0,0,231227,3807148,317
18,30,0.06,0.005,1,3928630,0,3598939,7527569,3672678,175121,0,0,157222,3400558,1434
18,30,0.04,0.005,3,131773,0,2863531,2995304,17706,3579,0,0,113760,2859869,56
18,30,0.04,0.005,2,201273,0,2848369,3049642,86838,10730,0,0,112836,2837125,89
18,30,0.04,0.005,1,2943320,0,2805911,5749231,2815397,67754,0,0,76291,2725898,293
18,30,0.02,0.005,3,34630,0,1546648,1581278,4536,718,0,0,30057,1545920,9
18,30,0.02,0.005,2,49122,0,1542628,1591750,18920,1574,0,0,30042,1540994,10
18,30,0.02,0.005,1,1580822,0,1544012,3124834,1547675,23472,0,0,19022,1517241,26
18,30,0.00,0.005,3,0,0,3,3,0,0,0,0,0,3,0
18,30,0.00,0.005,2,0,0,3,3,0,0,0,0,0,3,0
18,30,0.00,0.005,1,0,0,4,4,0,0,0,0,0,4,0
