coverage,divergence,heterozygosity,iteration,total.reads,has.match,multi.match,primary.match.only,secondary.match.only,both.matches,no.matches,missing.in.query,primary.err,pair.err,pos.err,chr.err,exact.map,close.map,mismapped,diff.chr,unmapped
30,0.10,0.005,3,17777414,16934976,11,16934976,0,0,0,842438,0,0,0,0,16603435,24476,22436,284640,0
30,0.10,0.005,2,17777414,16934976,12,16934976,0,0,0,842438,0,0,0,0,16604176,24360,22527,283925,0
30,0.10,0.005,1,17777414,16934976,11,16934976,0,0,0,842438,0,0,0,0,16628642,22215,22994,261136,0
30,0.08,0.005,3,17777588,16933632,17,16933632,0,0,0,843956,0,0,0,0,16601874,23852,22436,285487,0
30,0.08,0.005,2,17777588,16933632,19,16933632,0,0,0,843956,0,0,0,0,16602316,23912,22234,285189,0
30,0.08,0.005,1,17777588,16933632,6,16933632,0,0,0,843956,0,0,0,0,16626153,21771,23366,262348,0
30,0.06,0.005,3,17777626,16933232,18,16933232,0,0,0,844394,0,0,0,0,16601704,23842,22394,285310,0
30,0.06,0.005,2,17777626,16933232,19,16933232,0,0,0,844394,0,0,0,0,16602742,23871,22565,284073,0
30,0.06,0.005,1,17777626,16933232,12,16933232,0,0,0,844394,0,0,0,0,16626548,21670,23247,261779,0
30,0.04,0.005,3,17777772,16935380,38,16935380,0,0,0,842392,0,0,0,0,16602508,24157,22439,286314,0
30,0.04,0.005,2,17777772,16935380,24,16935380,0,0,0,842392,0,0,0,0,16603015,24233,22583,285573,0
30,0.04,0.005,1,17777772,16935380,8,16935380,0,0,0,842392,0,0,0,0,16627572,22213,23318,262285,0
30,0.02,0.005,3,17777734,16934708,18,16934708,0,0,0,843026,0,0,0,0,16603413,24755,22079,284479,0
30,0.02,0.005,2,17777734,16934708,17,16934708,0,0,0,843026,0,0,0,0,16603330,24605,22317,284473,0
30,0.02,0.005,1,17777734,16934708,2,16934708,0,0,0,843026,0,0,0,0,16627928,22507,23096,261179,0
30,0.00,0.005,3,17777504,16932198,24,16932198,0,0,0,845306,0,0,0,0,16600578,23782,22498,285364,0
30,0.00,0.005,2,17777504,16932198,18,16932198,0,0,0,845306,0,0,0,0,16600590,23839,22756,285031,0
30,0.00,0.005,1,17777504,16932198,3,16932198,0,0,0,845306,0,0,0,0,16624568,21701,23453,262479,0
