type	region	coverage	divergence	heterozygosity	total	num.lost	num.iter2.uniq	num.iter3.uniq	num.shared
tps	18	30	0.02	0.005	1594751	0	0	0	1594751
fns	18	30	0.02	0.005	150287	0	3699	2	146586
exact	18	30	0.02	0.005	11723714	0	3178	4550	11715986
unmapped	18	30	0.02	0.005	1786746	0	1619	1647	1783480
tps	18	30	0.04	0.005	3054226	0	4	0	3054222
fns	18	30	0.04	0.005	388487	0	13057	7	375423
exact	18	30	0.04	0.005	9943282	0	3164	3810	9936308
unmapped	18	30	0.04	0.005	3292704	0	2617	2527	3287560
tps	18	30	0.06	0.005	4299977	0	1	0	4299976
fns	18	30	0.06	0.005	759234	0	29327	7	729900
exact	18	30	0.06	0.005	8340525	0	4815	3346	8332364
unmapped	18	30	0.06	0.005	4498334	0	3189	3113	4492032
tps	18	30	0.08	0.005	5240091	0	3	0	5240088
fns	18	30	0.08	0.005	1359558	0	56796	10	1302752
exact	18	30	0.08	0.005	6824584	0	10608	3008	6810968
unmapped	18	30	0.08	0.005	5421258	0	3474	3201	5414583
tps	18	30	0.10	0.005	5678118	0	1	0	5678117
fns	18	30	0.10	0.005	2295547	0	108619	12	2186916
exact	18	30	0.10	0.005	5406389	0	24351	2532	5379506
unmapped	18	30	0.10	0.005	5951836	0	3862	3411	5944563
